Terme;Collocation;Total (contexte)
mining;epigraphy;9
encoding;analysis;9
linked;mapping;9
linked;database;9
data;methods;8
data;epigraphy;8
annotation;prosopography;8
open;geography;8
mining;xml;8
mining;tei;8
mining;digitisation;8
encoding;epigraphy;8
encoding;digitisation;8
linked;cultural;8
treebank;entities;8
data;xml;7
data;web;7
data;tei;7
data;prosopography;7
data;crowdsourcing;7
data;archives;7
annotation;standards;7
text;objects;7
text;maps;7
text;geography;7
text;digitisation;7
text;database;7
open;crowdsourcing;7
mining;standards;7
encoding;manuscript;7
encoding;artefacts;7
digital;license;7
digital;copyright;7
data;translation;6
data;teaching;6
data;semantic;6
data;pedagogy;6
data;access;6
annotation;teaching;6
annotation;library;6
annotation;database;6
annotation;artefacts;6
annotation;archives;6
text;nlp;6
visualisation;teaching;6
visualisation;pedagogy;6
visualisation;epigraphy;6
open;treebank;6
open;semantic;6
encoding;geography;6
linked;methods;6
linked;license;6
linked;geography;6
linked;digitisation;6
digital;teaching;6
digital;digitisation;6
digital;digital;6
digital;cultural;6
treebank;open;6
annotation;methods;5
text;tei;5
text;standards;5
text;mapping;5
visualisation;prosopography;5
open;archives;5
open;analysis;5
mining;prosopography;5
mining;methods;5
mining;archives;5
encoding;objects;5
encoding;methods;5
encoding;maps;5
linked;studies;5
linked;copyright;5
digital;xml;5
digital;translation;5
digital;studies;5
digital;edition;5
digital;database;5
treebank;teaching;5
treebank;manuscript;5
treebank;linked;5
data;nlp;4
annotation;semantic;4
annotation;paleography;4
annotation;nlp;4
text;paleography;4
text;artefacts;4
text;archives;4
visualisation;nlp;4
visualisation;license;4
visualisation;library;4
visualisation;copyright;4
visualisation;archaeology;4
open;web;4
open;teaching;4
open;prosopography;4
open;nlp;4
open;named;4
open;metadata;4
open;library;4
open;glam;4
open;entities;4
open;edition;4
mining;objects;4
mining;library;4
mining;crowdsourcing;4
encoding;edition;4
linked;treebank;4
linked;teaching;4
linked;semantic;4
linked;named;4
linked;linked;4
linked;analysis;4
digital;pedagogy;4
treebank;standards;4
treebank;pedagogy;4
treebank;nlp;4
treebank;geography;4
treebank;epigraphy;4
treebank;digital;4
data;metadata;3
data;library;3
data;artefacts;3
annotation;web;3
annotation;semantics;3
annotation;linguistics;3
