institutions_1                                                                          ,countries_1           ,institutions_2                                                      ,countries_2        , institutions_3                                    ,countries_3     ,institutions_4                                                     ,countries_4 ,institutions_5       ,countries_5 ,
University of Leipzig                                                                   ,Germany               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Leipzig / University of Bari                                              ,Germany / Italy       ,King's College London                                               ,England            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,King's College London                                               ,England            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Sofia                                                                     ,Bulgaria              ,University of Helsinki                                              ,Finland            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Oslo                                                                      ,Norway                ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
"Ain Shams University, Cairo"                                                           ,Egypt                 ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
"Babeș-Bolyai University, Cluj-Napoca"                                                  ,Romania               ,University of London                                                ,England            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Oslo                                                                      ,Norway                ,Alan Turing Institute / University of Cambridge                     ,England            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
"Deutsches Archäologisches Institut, Berlin"                                            ,Germany               ,"Deutsches Archäologisches Institut,Berlin"                         ,Germany            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Florida                                                                   ,USA                   ,Universidade Estadual Paulista                                      ,Brazil             ,                                                   ,                ,                                                                   ,            ,                     ,            ,
"Tbilisi State University, Georgia"                                                     ,Georgia               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Tehran                                                                    ,Iran                  ,University of Tehran                                                ,Iran               ,                                                   ,                ,                                                                   ,            ,                     ,            ,
"Deutsches Archäologisches Institut, Berlin"                                            ,Germany               ,"Deutsches Archäologisches Institut,Berlin"                         ,Germany            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Oslo                                                                      ,Norway                ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,University of London                                                ,England            , University of London                              ,England         ,                                                                   ,            ,                     ,            ,
University of Parma / University of Trier                                               ,Italy / Germany       ,University of Helsinki                                              ,Finland            , University of London                              ,England         ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,University of Tehran                                                ,Iran               ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Zagreb                                                                    ,Croatia               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Freiburg                                                                  ,Germany               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Sofia                                                                     ,Bulgaria              ,University of Sofia                                                 ,Bulgaria           , University of Sofia                               ,Bulgaria        ,                                                                   ,            ,                     ,            ,
University of Leipzig / University of Bari                                              ,Germany / Italy       ,University of London                                                ,England            , University of Leipzig                             ,Germany         ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,"Institute for the Study of the Ancient World, New York University" ,USA                , University of London                              ,England         ,"Babeș-Bolyai University, Cluj-Napoca"                             ,Romania     ,                     ,            ,
King's College London                                                                   ,England               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
Open University                                                                         ,England               ,University of London                                                ,England            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
Open University                                                                         ,England               ,University of London                                                ,England            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Leipzig / University of Bari                                              ,Germany / Italy       ,"Institute for the Study of the Ancient World, New York University" ,USA                ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,"Institute for the Study of the Ancient World ,New York University" ,USA                , "Babeș-Bolyai University, Cluj-Napoca"            ,Romania         ,                                                                   ,            ,                     ,            ,
"Deutsches Archäologisches Institut, Berlin / École polytechnique fédérale de Lausanne" ,Germany / Switzerland ,University of London                                                ,England            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
King's College London                                                                   ,England               ,University of London                                                ,England            , University of London                              ,England         ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,"Babeș-Bolyai University,Cluj-Napoca"                               ,Romania            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
King's College London                                                                   ,England               ,University of Bonn                                                  ,Germany            , University of London                              ,England         ,                                                                   ,            ,                     ,            ,
King's College London                                                                   ,England               ,SketchFab                                                           ,England            , University of London                              ,England         ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,University of London                                                ,England            , University of Virginia                            ,USA             ,                                                                   ,            ,                     ,            ,
University of Bordeaux                                                                  ,France                ,University of Pittsburgh                                            ,USA                ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,University of Reading                                               ,England            , SketchFab                                         ,England         ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,University of Leipzig                                               ,Germany            , University of Tehran                              ,Iran            ,University of London                                               ,England     ,                     ,            ,
University of London                                                                    ,England               ,University of London                                                ,England            , University of London                              ,England         ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,University of London                                                ,England            , University of Köln                                ,Germany         ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,University of London                                                ,England            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,University of London                                                ,England            , University of London                              ,England         ,                                                                   ,            ,                     ,            ,
University of Helsinki                                                                  ,Finland               ,University of Sofia / University of London                          ,Bulgaria/ England  ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Oslo                                                                      ,Norway                ,"Deutsches Archäologisches Institut,Berlin"                         ,Germany            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
"Deutsches Archäologisches Institut, Berlin"                                            ,Germany               ,University of London                                                ,England            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
Alan Turing Institute / University of Cambridge                                         ,England               ,École polytechnique fédérale de Lausanne                            ,Switzerland        ,                                                   ,                ,                                                                   ,            ,                     ,            ,
Duke University                                                                         ,USA                   ,University of London                                                ,England            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
"Institute for the Study of the Ancient World, New York University"                     ,USA                   ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
Eldarion                                                                                ,USA                   ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Florida                                                                   ,USA                   ,Universidade Estadual Paulista                                      ,Brazil             ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Leipzig / University of Bari                                              ,Germany / Italy       ,University of London                                                ,England            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
"Babeș-Bolyai University, Cluj-Napoca"                                                  ,Romania               ,University of London                                                ,England            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Florida                                                                   ,USA                   ,University of Florida                                               ,USA                ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Zagreb                                                                    ,Croatia               ,University of Zagreb                                                ,Croatia            , University of Zagreb                              ,Croatia         ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,University of Tehran                                                ,Iran               , University of Tehran                              ,Iran            ,                                                                   ,            ,                     ,            ,
University of Parma                                                                     ,Italy                 ,University of Helsinki                                              ,Finland            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,                                                                    ,                   ,                                                   ,                ,                                                                   ,            ,                     ,            ,
University of Leipzig                                                                   ,Germany               ,University of Leipzig                                               ,Germany            , University of Leipzig                             ,Germany         ,University of Leipzig                                              ,Germany     ,                     ,            ,
Binghamton University                                                                   ,USA                   ,University of Pittsburgh                                            ,USA                , University of London                              ,England         ,                                                                   ,            ,                     ,            ,
Open University                                                                         ,England               ,British Library                                                     ,England            , University of London                              ,England         ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,University of London                                                ,England            ,                                                   ,                ,                                                                   ,            ,                     ,            ,
"Babeș-Bolyai University, Cluj-Napoca"                                                  ,Romania               ,"Babeș-Bolyai University,Cluj-Napoca"                               ,Romania            , University of Lancaster                           ,England         ,                                                                   ,            ,                     ,            ,
University of South Florida                                                             ,USA                   ,University of London                                                ,England            , University of Portsmouth                          ,England         ,                                                                   ,            ,                     ,            ,
University of London                                                                    ,England               ,University of London                                                ,England            , Duke University                                   ,USA             ,"Institute for the Study of the Ancient World,New York University" ,USA         ,University of Oxford ,England     ,
