n_total,Institutions
147,British Library
148,University of London
148,Alan Turing Institute
148,University of Cambridge
148,University College London
149,University of London
149,University of London
149,University of Hamburg
149,Wikimedia UK
150,University of London
150,University of Exeter
151,Open University
151,The Watercolour World
151,École polytechnique fédérale de Lausanne
152,University of London
152,University of Köln
152,University of Nottingham
153,University of Nebraska Lincoln
153,University of Helsinki
154,Furman University
154,Leipzig University
155,Università Cattolica del Sacro Cuore
155,Katholieke Universiteit Leuven
156,University Paris Nanterre
156,École polytechnique fédérale de Lausanne
157,Leipzig University
157,University of Sofia
158,University of Sofia
159,Leipzig University
159,University of Sofia
160,University of Sofia
160,University Paris Sorbonne
160,Frankfurt Big Data Lab
161,Leipzig University
161,Babeș-Bolyai University
162,Leipzig University
163,Leipzig University
164,Furman University
164,Universidade Estadual Paulista
165,University of Exeter
166,University of Florida
167,University of Florida
167,University of Florida
168,Babeș-Bolyai University
168,"CY Tech, CY Cergy Paris University"
169,University of Oxford
169,University of Reading
170,University of Exeter
171,Leipzig University
171,University of London
171,University of Bologna
172,University of London
172,University of Exeter
172,University of Bologna
173,University of London
173,University Paris Sorbonne
173,University of Bologna
174,Katholieke Universiteit Leuven
174,University of Surrey
174,University of Oxford
175,Leipzig University
175,British Library
176,Leipzig University
176,University of London
176,Wikimedia UK
177,University of Lausanne
177,University of Nebraska Lincoln
177,University of Helsinki
177,University of Helsinki
178,Leipzig University
178,Furman University
179,University Paris Nanterre
179,University of London
179,University of London
180,University of London
180,Indiana University
180,Recollection Heritage
181,A Street Near You
181,British Library
182,Smithsonian Institute
182,Creative Commons
182,University of London
182,University of Exeter
183,Yale University
183,Austrian Institute of Technology
183,British Library
184,Creative Commons
184,Palestine Open Maps
184,University of Exeter
185,University of Antwerp
185,University of Massachusetts Amherst
186,SketchFab
186,Bournemouth University
186,Recollection Heritage
187,Europeana Foundation
187,University of Exeter
187,University of Exeter
188,University of Leiden
188,University of Amsterdam
188,Recollection Heritage
189,Leipzig University
189,University of London
189,King’s College London
190,University of Bologna
190,University of London
190,University of Bologna
191,Brown University
191,Brown University
192,University of Lausanne
193,Katholieke Universiteit Leuven
193,Katholieke Universiteit Leuven
194,Eldarion
194,University of Oxford
195,University of Bordeaux
196,Leipzig University
196,University of London
197,Open University
197,King’s College London
198,École polytechnique fédérale de Lausanne
199,University of Oklahoma
200,Leipzig University
200,Leipzig University
201,"University of California, Berkeley"
201,Leipzig University
202,Fondazione Museo delle Antichità Egizie di Torino
202,Leipzig University
203,University of London
203,Durham University
203,Katholieke Universiteit Leuven
203,Eldarion
204,University of London
204,University of Helsinki
205,University Paris Nanterre
205,University of London
205,University of London
206,University of London
206,Mississippi State University
207,University of London
207,University of Milan
207,University of Helsinki
209,Furman University
209,Leipzig University
209,Tbilisi State University
210,Leipzig University
210,Alan Turing Institute
210,University of Cambridge
211,Katholieke Universiteit Leuven
211,University of Oxford
212,University of London
212,Wikimedia UK
212,King’s College London
213,British Museum
213,Museo Egizio Torino
214,University of London
214,British Museum
214,"Fitzwilliam Museum, University of Cambridge"
215,British Museum
215,University of London
215,Science Museum Group
215,British Library
216,Hebrew University of Jerusalem
216,University of Oxford
216,University of London
217,British Museum
217,Alan Turing Institute
217,University of Cambridge
218,Europeana Foundation
218,University of Exeter
219,University of Toronto
219,University of Massachusetts Amherst
220,Universitat Jaume I
220,New York University
221,Leipzig University
221,University of Pavia
221,University of Pavia
221,University of Exeter
222,Leipzig University
222,University of London
222,University Paris Nanterre
222,University of Oviedo
222,University of Erfurt
223,Leipzig University
224,Leipzig University
224,Humboldt University of Berlin
224,Humboldt University of Berlin
225,Leipzig University
225,Stellenbosch University
226,Leipzig University
226,Alan Turing Institute
