145,2019-2020,Fall,7,14/11/2019,2019,Legal and Ethical Considerations,Gabriel Bodard,"Institute of Classical Studies, London",Richard Nevell,Wikimedia UK,Andrea Wallace,University of Exeter,,,,,,,,,copyright license and open access,linked open data,,,,,
146,2019-2020,Fall,8,21/11/2019,2019,GIS and Geovisualization,Chiara Palladino,Furman University,Rebecca Seifried,"University of Massachusetts, Amherst",,,,,,,,,,,digital methods,encoding,database,maps and mapping,visualisation,,
147,2019-2020,Fall,9,28/11/2019,2019,Crowdsourcing Cultural Heritage,John Pearce,King's College London,Mia Ridge,British Library,,,,,,,,,,,crowdsourcing,linked open data,digital archives and library,cultural studies,,,
148,2019-2020,Spring,10,16/01/2020,2020,Basic tools,Gabriel Bodard,"Institute of Classical Studies, London",Barbara McGillivray,Alan Turing Institute / University of Cambridge,Katharine Shields,University College London,,,,,,,,,digital methods,copyright license and open access,,,,,
149,2019-2020,Spring,11,23/01/2020,2020,Wikimedia sites for research,Gabriel Bodard,"Institute of Classical Studies, London",Emma Bridges,"Institute of Classical Studies, London",Pietro Liuzzo,University of Hamburg,Richard Nevell,Wikimedia UK,,,,,,,linked open data,database,research process,,,,
150,2019-2020,Spring,12,30/01/2020,2020,EpiDoc 1: intro to markup,Gabriel Bodard,"Institute of Classical Studies, London",Charlotte Tupman,University of Exeter,,,,,,,,,,,encoding,epigraphy,manuscript,annotation,XML-TEI,,
151,2019-2020,Spring,13,06/02/2020,2020,Introduction to Python,Paula Granados García,Open University / The Watercolour World,Matteo Romanello,École polytechnique fédérale de Lausanne,,,,,,,,,,,digital methods,data mining,encoding,,,,
152,2019-2020,Spring,14,13/02/2020,2020,EpiDoc 2: publishing,Gabriel Bodard,"Institute of Classical Studies, London",Martina Filosa,University of Köln,Simona Stoyanova,University of Nottingham,,,,,,,,,text encoding,visualisation,digital edition,text mining,epigraphy,,
153,2019-2020,Spring,15,20/02/2020,2020,Treebanking 1: morphosyntactic annotation,Vanessa Gorman,University of Nebraska-Lincoln,Polina Yordanova,University of Helsinki,,,,,,,,,,,annotation,treebank,encoding,,,,
154,2019-2020,Spring,16,27/02/2020,2020,Translation alignment,Chiara Palladino,Furman University,Tariq Yousef,University of Leipzig,,,,,,,,,,,translation,encoding,database,visualisation,,,
155,2019-2020,Spring,17,05/03/2020,2020,Treebanking 2: querying treebanks,Francesco Mambrini,"Università Cattolica del Sacro Cuore, Milan",Toon Van Hal,Katholieke Universiteit Leuven,,,,,,,,,,,annotation,treebank,text mining,,,,
156,2019-2020,Spring,18,12/03/2020,2020,Data Visualisation,Aurélien Berra,Paris Nanterre University,Matteo Romanello,École polytechnique fédérale de Lausanne,,,,,,,,,,,text analysis,data analysis,visualisation,,,,
157,2019-2020,Summer,19,09/04/2020,2020,Introduction to SunikisisDC,Monica Berti,University of Leipzig,Dimitar Illiev,University of Sofia,,,,,,,,,,,,,,,,,
158,2019-2020,Summer,20,16/04/2020,2020,Digital Classics in Teaching: Before and Now,Dimitar Illiev,University of Sofia,,,,,,,,,,,,,teaching and pedagogy,digital methods,,,,,
159,2019-2020,Summer,21,23/04/2020,2020,Text-Bearing Objects 1,Monica Berti,University of Leipzig,Dimitar Illiev,University of Sofia,,,,,,,,,,,objects and artefacts,encoding,archaeology,,,,
160,2019-2020,Summer,22,30/04/2020,2020,Text-Bearing Objects 2,Lily Grozdanova,University of Sofia,Alessio Sopracasa,Paris Sorbonne University,Karsten Tolle,Frankfurt Bid Data Lab,,,,,,,,,archaeology,objects and artefacts,visualisation,database,NLP,,
