68,2016-2017,Spring,20,15/06/2017,2017,Annotating and representing ancient lexicographical texts and similes,Stylianos Chronopoulos,University of Freiburg,,,,,,,,,,,,,annotation,visualisation,XML-TEI,text encoding,standards,,
69,2016-2017,Spring,21,23/06/2017,2017,Historical GIS of South-Estern Europe - Joint session with the Digital Classicist Seminar London,Dimitar Illiev,University of Sofia,Maria Baramova,University of Sofia,Grigor Boykov,University of Sofia,,,,,,,,,data mining,visualisation,maps and mapping,linked open data,,,
70,2016-2017,Spring,22,29/06/2017,2017,Reading and visualizing geo-annotated data,Chiara Palladino,University of Leipzig / University of Bari,Valeria Vitale,"Institute of Classical Studies,London",Marcel Mernitz,University of Leipzig,,,,,,,,,visualisation,maps and mapping,data mining,linked open data,,,
71,2016-2017,Spring,23,06/07/2017,2017,Topic modelling of morphologically complex languages,Thomas Köntges,University of Leipzig,,,,,,,,,,,,,treebank,teaching and pedagogy,topic modeling,,,,
72,2017-2018,Fall,1,14/09/2017,2017,"Overview, cultural heritage and digital humanities",Gabriel Bodard,University of London,Tom Elliott,"Institute for the Study of the Ancient World,New York University",Simona Stoyanova,University of London,Rada Varga,"Babeș-Bolyai University,Cluj-Napoca",,,,,,,digital methods,cultural studies,,,,,
73,2017-2018,Fall,2,21/09/2017,2017,Crowdsourcing archaeological data: Portable antiquities scheme,John Pearce,King's College London,,,,,,,,,,,,,crowdsourcing,archaeology,data mining,linked open data,database,,
74,2017-2018,Fall,3,05/10/2017,2017,Geographic annotation and visualisation,Paula Granados García,Open University,Valeria Vitale,University of London,,,,,,,,,,,geography,annotation,visualisation,linked open data,annotation,,
75,2017-2018,Fall,4,12/10/2017,2017,Geographic Information Systems I: encoding geographic data,Paula Granados García,Open University,Valeria Vitale,University of London,,,,,,,,,,,encoding,maps and mapping,visualisation,data mining,geography,,
76,2017-2018,Fall,5,19/10/2017,2017,Geographic Information Systems II: interpreting geographic data,Chiara Palladino,University of Leipzig / University of Bari,Tom Elliott,"Institute for the Study of the Ancient World,New York University",,,,,,,,,,,data mining,text mining,visualisation,maps and mapping,geography,,
77,2017-2018,Fall,6,26/10/2017,2017,"Structuring, querying and visualising data",Gabriel Bodard,University of London,Tom Elliott,"Institute for the Study of the Ancient World,New York University",Rada Varga,"Babeș-Bolyai University,Cluj-Napoca",,,,,,,,,visualisation,data mining,standards,,,,
78,2017-2018,Fall,7,02/11/2017,2017,Data transformation with python and regular expressions,Matteo Romanello,"Deutsches Archäologisches Institut, Berlin / École polytechnique fédérale de Lausanne",Simona Stoyanova,University of London,,,,,,,,,,,data mining,database,,,,,
79,2017-2018,Fall,8,09/11/2017,2017,Linking text and image,Charlotte Roueché,King's College London,Simona Stoyanova,University of London,Gabriel Bodard,University of London,,,,,,,,,linked open data,visualisation,digital edition,annotation,encoding,,
80,2017-2018,Fall,9,16/11/2017,2017,Prosopography and linked person-data,Gabriel Bodard,University of London,Rada Varga,"Babeș-Bolyai University,Cluj-Napoca",,,,,,,,,,,prosopography,linked open data,database,data mining,,,
