n_total,season,n_in_season,date,title,themes_1,themes_2,themes_3,discipline_1,discipline_2,method_1,method_2,class outline
251,Spring,5,15/02/2024,Ethical Responsibilites and 3D Methods in Cultural Heritage,,,,digital humanities,museology,teaching,preserving,https://github.com/SunoikisisDC/SunoikisisDC-2023-2024/wiki/5.-Ethics
252,Spring,6,22/02/2024,Wikipedia & Wikidata: Collaboration and authority data,,,,digital humanities,,teaching,crowdsourcing,https://github.com/SunoikisisDC/SunoikisisDC-2023-2024/wiki/6.-Wikidata
253,Spring,7,29/02/2024,Experiencing 3D: Virtual Reality and Sketchfab,,,,digital humanities,,teaching,imaging,
254,Spring,8,07/03/2024,3D Modelling: Archaeological reconstruction and 3D printing,,,,digital humanities,archaeology,teaching,designing,https://github.com/SunoikisisDC/SunoikisisDC-2023-2024/wiki/8.-3D-Modelling
255,Summer,1,08/04/2024,Free and open primary texts,,,,literature,philology,,linked open data,https://github.com/SunoikisisDC/SunoikisisDC-2023-2024/wiki/1.-Open-Texts
256,Summer,2,22/04/2024,Suda On Line and the Digital Suda projects,,,,digital humanities,literature,annotating,,https://github.com/SunoikisisDC/SunoikisisDC-2023 2024/wiki/3.-Suda
257,Summer,3,06/05/2024,Digital prosopography,,,,digital humanities,prosopography,teaching,,https://github.com/SunoikisisDC/SunoikisisDC-2023-2024/wiki/5.-Prosopography
258,Summer,4,27/05/2024,Text Analysis with Voyant Tools,,,,philology,digital humanities,exploring,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/Text-Analysis-with-Voyant
259,Summer,5,10/06/2024,Treebanking and morphosyntactic annotation to study reception of ancient language and texte,,,,linguistics,,tree-tagging,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2023-2024/wiki/9.-Treebanking
260,Summer,6,24/06/2024,Arabic and Georgian sources for Byzantine and Medieval history,,,,history,literature,comparing,,https://github.com/SunoikisisDC/SunoikisisDC-2023-2024/wiki/11.-Arabic-Georgian
261,Spring,1,16/01/2025,Finding free classical texts,,,,literature,digital humanities,exploring,linked open data,https://github.com/SunoikisisDC/SunoikisisDC-2024-2025/wiki/1-Finding-Texts
262,Spring,2,23/01/2025,Preparing texts and data cleaning,,,,digital humanities,philology,data cleansing,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2024-2025/wiki/2-Preparing-Texts
263,Spring,3,18/03/2025,Working with Egyptian texts,,,,philology,literature,sentiment analysis,,https://github.com/SunoikisisDC/SunoikisisDC-2024-2025/wiki/3-Egyptian-Texts
264,Spring,4,06/02/2025,Digital editions of inscriptions and papyri,,,,paleography,philology,exploring,,https://github.com/SunoikisisDC/SunoikisisDC-2024-2025/wiki/4-EpiDoc
265,Spring,5,13/02/2025,Working with Wikipedia,,,,digital humanities,,linked open data,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2024-2025/wiki/5-Wikipedia
266,Spring,6,27/02/2025,Analysing and visualising texts,,,,philology,literature,named entity recognition,data visualization,https://github.com/SunoikisisDC/SunoikisisDC-2024-2025/wiki/6-Analysing-Texts
267,Spring,7,06/03/2025,Working with Cuneiform texts,,,,philology,paleography,exploring,,https://github.com/SunoikisisDC/SunoikisisDC-2024-2025/wiki/7-Cuneiform-Texts
