Source,Target,Weight
Creative Commons,University of London,1
Smithsonian Institute,University of Exeter,1
Smithsonian Institute,University of London,1
Austrian Institute of Technology,British Library,1
Austrian Institute of Technology,Yale University,1
British Library,Yale University,1
Creative Commons,Palestine Open Maps,1
Palestine Open Maps,University of Exeter,1
University of Antwerp,University of Massachusetts Amherst,1
Bournemouth University,Recollection Heritage,1
Bournemouth University,SketchFab,1
Recollection Heritage,SketchFab,1
Europeana Foundation,University of Exeter,2
Recollection Heritage,University of Amsterdam,1
Recollection Heritage,University of Leiden,1
Eldarion,University of Oxford,1
King’s College London,Open University,1
Leipzig University,"University of California, Berkeley",1
Fondazione Museo delle Antichità Egizie di Torino,Leipzig University,1
Durham University,Eldarion,1
Durham University,Katholieke Universiteit Leuven,1
Durham University,University of London,2
Eldarion,Katholieke Universiteit Leuven,1
Eldarion,University of London,1
Mississippi State University,University of London,1
University of Helsinki,University of Milan,1
University of London,University of Milan,1
Furman University,Tbilisi State University,1
Leipzig University,Tbilisi State University,1
Alan Turing Institute,Leipzig University,2
Leipzig University,University of Cambridge,2
King’s College London,Wikimedia UK,3
British Museum,Museo Egizio Torino,1
British Museum,"Fitzwilliam Museum, University of Cambridge",1
British Museum,University of London,2
"Fitzwilliam Museum, University of Cambridge",University of London,1
British Library,British Museum,1
British Library,Science Museum Group,1
British Museum,Science Museum Group,1
Science Museum Group,University of London,1
Hebrew University of Jerusalem,University of London,3
Hebrew University of Jerusalem,University of Oxford,1
Alan Turing Institute,British Museum,1
British Museum,University of Cambridge,1
University of Massachusetts Amherst,University of Toronto,1
New York University,Universitat Jaume I,1
Leipzig University,University of Exeter,1
Leipzig University,University of Pavia,1
University of Exeter,University of Pavia,1
Leipzig University,University Paris Nanterre,1
Leipzig University,University of Erfurt,1
Leipzig University,University of Oviedo,1
University Paris Nanterre,University of Erfurt,1
University Paris Nanterre,University of Oviedo,1
University of Erfurt,University of London,1
University of Erfurt,University of Oviedo,1
University of London,University of Oviedo,1
Humboldt University of Berlin,Leipzig University,1
Alan Turing Institute,Institut national des sciences appliquées de Lyon (INSA Lyon),1
Institut national des sciences appliquées de Lyon (INSA Lyon),Leipzig University,1
Institut national des sciences appliquées de Lyon (INSA Lyon),University of Cambridge,1
Leipzig University,Rijksmuseum van Oudheden Leiden,1
Rijksmuseum van Oudheden Leiden,Stellenbosch University,1
Tufts University,University of Nebraska Lincoln,1
La Sapienza University of Rome,Liceo Classico G. Pantaleo - Castelvetrano (TP),1
La Sapienza University of Rome,University of London,1
Liceo Classico G. Pantaleo - Castelvetrano (TP),University of London,1
Università Cattolica del Sacro Cuore,Université de Neuchâtel,1
Leipzig University,Tel Aviv University-University of London,2
Ain Shams University,University of Cologne,1
University of Cologne,University of London,2
Open University,University of Sheffield,1
Barnard College,University of Exeter,1
Open University,University College London,1
Tel Aviv University-University of London,University of London,1
Leipzig University,independent scholar,1
University of London,independent scholar,1
Leipzig University,Yale University,1
Maynooth University,University of Cologne,1
Maynooth University,University of London,1
British School at Rome,University of London,1
British School at Rome,University of Porto,1
University of London,University of Porto,1
Furman University,University of Sheffield,1
University of London,University of Massachusetts Amherst,1
Endangered Material Knowledge Programme,GLAM-E Lab,1
Endangered Material Knowledge Programme,University of Exeter,1
Endangered Material Knowledge Programme,University of London,1
GLAM-E Lab,University of Exeter,1
GLAM-E Lab,University of London,1
Bard College,Birkbeck University,1
Bard College,Leipzig University,1
Bard College,University of London,1
Birkbeck University,Leipzig University,1
University of Vienna,University of Wien,1
University of Helsinki,University of Leuven,1
University of Leuven,University of London,1
Ilia State University,University Frankfurt,1
King’s College London,University of Cambridge,1
Free University of Berlin,Leipzig University,1
Oxford Text Archive,University of London,1
Copenhagen University,King’s College London,1
Copenhagen University,Lund University,1
Copenhagen University,University of York,1
King’s College London,Lund University,1
King’s College London,University of York,1
Lund University,University of York,1
Furman University,Oxford Text Archive,1
Leipzig University,Oxford Text Archive,1
Columbia University,Durham University,1
Columbia University,Leipzig University,1
Columbia University,University of Helsinki,1
Columbia University,University of London,1
Durham University,Leipzig University,1
Durham University,University of Helsinki,1
Leipzig University,University of Helsinki,1
Bard College,New York University,1
Bard College,Yale University,1
New York University,Yale University,1
University of Glasgow,University of London,2
University of Glasgow,University of York,1
University of London,University of York,1
British Museum,University of Glasgow,1
Durham University,Furman University,1
Durham University,University of Massachusetts Amherst,1
British Museum,University of Ottawa,1
Digital Heritage Consulting,Leiden University,1
Ca' Foscari University of Venice,Kore University of Enna,1
