n_total,acad_year,season,n_in_acad_year,date,year,title,contributors_1,institutions_1,countries_1,contributors_2,institutions_2,countries_2,contributors_3,institutions_3,countries_3,contributors_4,institutions_4,countries_4,contributors_5,institutions_5,countries_5,contributors_6,institutions_6,countries_6,contributors_7,institutions_7,countries_7,themes_1,themes_2,themes_3,themes_4,themes_5,themes_6,class outline
221,2021-2022,Summer,1,28/04/2022,2022,WordNets for Ancient Indo-European Languages,Erica Biagetti,University of Pavia,Italy,Chiara Zanchi,University of Pavia,Italy,William Michael Short,University of Exeter,United Kingdom,,,,,,,,,,,,,Digital-Lexicography,Word-Nets,Linguistic-Research,,,,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/SunoikisisDC-Summer-2022-Session-1
222,2021-2022,Summer,2,05/05/2022,2022,Text Analysis and Fragment Detection in Aelian's De Natura Animalium,Monica Berti,Leipzig University,Germany,Gabriel Bodard,University of London,United Kingdom,Aurélien Berra,University Paris-Nanterre,France,Lucía Rodríguez-Noriega Guillén,University of Oviedo,Spain,Alexandra Trachsel,University of Erfurt,Germany,,,,,,,Digital-Philology,Text-Analysis,Voyant-Tool,,,,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/SunoikisisDC-Summer-2022-Session-2
223,2021-2022,Summer,3,19/05/2022,2022,ToposText and Wikidata,Brady Kiesling,,,,,,,,,,,,,,,,,,,,,Digital-Geography,Mapping,ToposText,,,,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/SunoikisisDC-Summer-2022-Session-4
224,2021-2022,Summer,4,02/06/2022,2022,Machina Callida,Andrea Beyer,Humboldt University of Berlin,Allemagne,Konstantin Schulz,Humboldt University of Berlin,,,,,,,,,,,,,,,,,Pedagogy,Philological-Research,Machina-Callida,,,,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/SunoikisisDC-Summer-2022-Session-6
225,2022-2023,Summer,5,09/06/2022,2022,"South Africa, Greece and Rome: Classical Confrontations in the Digital Age",Samantha Masters,Stellenbosch University,South Africa,,,,,,,,,,,,,,,,,,,Digital-Museology,Preserving,Museum-Data,,,,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/SunoikisisDC-Summer-2022-Session-7
226,2022-2023,Summer,6,23/06/2022,2022,Natural Language Processing (NLP) for Historical Texts,Katie McDonough,The Alan Touring Institute,England,Ludovic Moncla,Institut national des sciences appliquées de Lyon (INSA Lyon),France,,,,,,,,,,,,,,,,Natural-Language-Processing,Geo-Tagging,GIS,,,,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/SunoikisisDC-Summer-2022-Session-9
227,2022-2023,Summer,7,30/06/2022,2022,Exhibiting the Ancient World - Online and Offline,Franziska Naether,Leipzig University-Stellenbosch University,Germany-South Africa,Lara Weiss,Rijksmuseum van Oudheden Leiden,Netherlands,,,,,,,,,,,,,,,,Digital-Museology,Curating,Digital-Exhibitions,,,,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/SunoikisisDC-Summer-2022-Session-10
228,2022-2023,summer,8,07/07/2022,2022,Translation Alignment for Ancient Greek and Latin,Monica Berti,Leipzig University,Germany,Chiara Palladino,Furman University,USA,David Wright,Furman University,USA,Tariq Yousef,Leipzig University,Germany,,,,,,,,,,Computational-Linguistics,Translation-Alignment,Ancient-Greek,,,,https://github.com/SunoikisisDC/SunoikisisDC-2021-2022/wiki/SunoikisisDC-Summer-2022-Session-11
